type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
House,615000,3,2,2230.0,Manhattan,11212,12.931308815947425,10.300188813668372
Condo,800000,2,2,1257.0,Manhattan,10029,5.241694732667026,11.13383327983174
Condo,430000,2,2,1248.0,Staten Island,10314,21.471691322955547,15.889997391168837
Co-op,439500,3,2,1400.0,Queens,11415,14.042546145836061,14.696821232395786
Co-op,299000,1,1,964.0,Queens,11415,13.74222834851668,14.756746661909341
Condo,200000,1,1,613.0,Manhattan,10462,14.277435971108545,19.824469636319
Co-op,425000,3,1,1440.0,Manhattan,10031,7.214356530876228,13.410833394208153
Co-op,69000,1,1,850.0,Bronx,10452,10.072116866501196,16.190600788755447
Condo,1995000,3,2,1546.0,Manhattan,10025,5.0168965179824845,11.217478705627137
Co-op,230000,1,1,620.0,Manhattan,10025,5.128280722273822,11.328690816455701
Co-op,220000,1,1,590.0,Queens,11435,14.572881267129452,15.677079172720816
Co-op,198000,3,1,964.0,Queens,11355,13.794032542453685,16.74868913411887
Co-op,1495000,1,2,1440.0,Manhattan,10010,2.280796781854091,4.105020691518139
Co-op,475000,1,1,615.0,Manhattan,10128,4.028311183852176,9.66468098678955
Co-op,199900,2,1,964.0,Queens,11422,23.003685098102174,23.38823337045346
House,1150000,2,2,1444.0,Manhattan,10304,21.641323824941598,15.572680737628772
House,1575000,3,2,2230.0,Manhattan,11215,10.080436649547575,5.003157091305111
Co-op,229000,1,1,964.0,Queens,11372,9.209929719440405,12.523510233641428
Condo,320000,2,2,936.0,Bronx,10473,12.687488240184157,18.052971994687514
Co-op,295000,2,1,700.0,Brooklyn,11230,15.52139772500854,10.125588031855989
House,550000,3,2,2230.0,Manhattan,11203,12.75894002260306,8.665423095832983
Condo,285000,2,1,1000.0,Bronx,10462,13.521753830062265,19.081573514541386
Co-op,328000,1,1,800.0,Queens,11373,8.943371376985274,11.53244003928699
Multi-family home,1388000,4,3,3262.0,Manhattan,11358,16.037765820767504,19.484046440853525
Multi-family home,3000000,10,10,3262.0,Manhattan,11201,7.131783040760853,1.8225174084686095
Multi-family home,2198888,7,6,3262.0,Manhattan,11385,8.911263690624304,8.431055613918927
Multi-family home,650000,6,2,2310.0,Manhattan,10473,12.580821116861108,17.984337279964034
Condo,1100000,1,2,890.0,Manhattan,10036,0.2295086628533354,6.252860421527988
Townhouse,2649000,5,4,4050.0,Manhattan,11216,9.35896323308769,6.42718448488067
Co-op,849000,2,1,800.0,Brooklyn,11215,10.291254239930248,4.785502647993307
Co-op,560000,3,1,550.0,Manhattan,10023,2.05631221304714,8.134489436348451
Co-op,418888,2,1,900.0,Brooklyn,11219,13.99654644209832,8.019652951245117
Multi-family home,2600000,3,3,3978.0,Manhattan,11228,16.85616883022281,10.854069732134159
Multi-family home,899000,8,2,2160.0,Manhattan,10469,17.20094626255087,23.01520048955015
