type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11374.0,3.0,1.0,625.0,11.161083915661717,13.072336922936913,215000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10025.0,1.0,1.0,1440.0,5.128280722273822,11.3286908164557,410000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11374.0,2.0,1.0,964.0,11.031619228386136,13.027349735562098,379000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11235.0,2.0,2.0,1200.0,19.377389936406097,14.184781656645889,515000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10128.0,2.0,2.0,1440.0,3.6993729697665,9.621579680183086,950000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11369.0,1.0,1.0,700.0,9.072905005187735,12.521088885517605,299000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11436.0,4.0,2.0,3262.0,18.00409887317483,17.801046689708546,699000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11238.0,5.0,5.0,4057.0,8.402604098778138,4.320117407184487,2600000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10013.0,3.0,1.0,1710.0,4.447740899535432,1.8766173939994557,2250000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11369.0,6.0,4.0,3262.0,10.307254886517008,13.859832118431314,1325000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11421.0,5.0,2.0,3262.0,13.177851912472311,12.6820304477841,1075000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11378.0,5.0,3.0,1574.0,7.988210876095688,8.778207663998781,998000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10468.0,2.0,1.0,875.0,14.935414300302734,21.071655069663134,190000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11235.0,1.0,1.0,561.0,19.777247810694696,14.691630016205018,399000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11355.0,1.0,1.0,964.0,13.93157446737653,17.056853950111922,299000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11432.0,1.0,1.0,850.0,16.593425521176897,17.71778581030153,169000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10301.0,2.0,1.0,789.0,18.64770323013533,12.748520767809554,225000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11361.0,6.0,6.0,3184.0,18.459196025475585,21.461677768905723,2498000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11220.0,7.0,3.0,2024.0,13.923680839715445,7.735684557717816,1550000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11201.0,10.0,10.0,3262.0,7.131783040760853,1.822517408468609,3000000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11374.0,2.0,2.0,964.0,11.55576642241329,13.202659518123816,369888
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11233.0,3.0,1.0,2208.0,10.8999022317848,8.815713882504909,600000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11694.0,3.0,2.0,1770.0,23.715345829073915,20.659757547751685,649000
